"node_id";"taxonomy_name";"taxonomy_rank"
"TI_PLANT_123";"Euphorbia_schimperiana";"species"
"TI_PLANT_124";"Rumex_nervoses";"species"
"TI_PLANT_125";"Pennisetum_typhoides";"species"
"TI_PLANT_126";"Euryops_arabicus";"species"
"TI_PLANT_127";"Prunus_persica";"species"
"TI_PLANT_128";"Anethum_graveolens";"species"
"TI_PLANT_129";"Anisum_sativum";"species"
"TI_PLANT_130";"Foeniculus_vulgare";"species"
"TI_PLANT_131";"Alkanna_orientalis";"species"
"TI_PLANT_132";"Chenopodium_murale";"species"
"TI_PLANT_133";"Lactuca_saligna";"species"
"TI_PLANT_134";"Lycium_arabicum";"species"
"TI_PLANT_135";"Avena _futua";"species"
"TI_PLANT_136";"Avena _sativa";"species"
"TI_PLANT_137";"Euyops_arabicus";"species"
"TI_PLANT_138";"Pennisetum_setaceum";"species"
"TI_PLANT_139";"Pinus_halepensis";"species"
"TI_PLANT_140";"Prunus_domestica";"species"
"TI_PLANT_141";"Prunus_spinosa";"genus"
"TI_PLANT_142";"Panicum_turgidum";"species"
"TI_PLANT_143";"Hordeum_vulgare";"species"
"TI_PLANT_144";"Phaseolus_vulgaris";"species"
"TI_PLANT_145";"Heliotropium_bacciferum";"species"
"TI_PLANT_146";"Plantago_lanceolata";"species"
"TI_PLANT_147";"Portulaca_oleracea";"species"
"TI_PLANT_148";"Physallis_longifolia ";"species"
"TI_PLANT_149";"Dactyloctenium_aegyptium";"species"
"TI_PLANT_150";"Carthamus_tinctorius";"species"
"TI_PLANT_151";"ficus_nodosa";"species"
"TI_PLANT_152";"castanopsis_acuminatissima";"species"
"TI_PLANT_153";"pipturus_argenteus";"species"
"TI_PLANT_154";"caldcluvia_brassii";"species"
"TI_PLANT_155";"cinnamomum_culilaban";"species"
"TI_PLANT_156";"elmerrillia_tsiampacca";"species"
"TI_PLANT_157";"cordia_dichotoma";"species"
"TI_PLANT_158";"aleurites_moluccana";"species"
"TI_PLANT_159";"melicope_denhamii";"species"
"TI_PLANT_160";"piper_plagiophyllum";"species"
"TI_PLANT_161";"bidens_gardneri";"species"
"TI_PLANT_162";"Campuloclinium_chlorolepis";"species"
"TI_PLANT_163";"chromolaena_chaseae";"species"
"TI_PLANT_164";"chromolaena_ordorata";"species"
"TI_PLANT_165";"chromolaena_pedunculosa";"species"
"TI_PLANT_166";"chromolaena_pungens";"species"
"TI_PLANT_167";"chromolaena_squalida";"species"
"TI_PLANT_168";"chrysolaena_herbacea";"species"
"TI_PLANT_169";"conyza_canadensis";"species"
"TI_PLANT_170";"elephantopus_biflorus";"species"
"TI_PLANT_171";"elephantopus_mollis";"species"
"TI_PLANT_172";"gochnatia_barrosii";"species"
"TI_PLANT_173";"gochnatia_pulchra";"species"
"TI_PLANT_174";"heterocondylus_alatus";"species"
"TI_PLANT_175";"lessingianthus_bardanoides";"species"
"TI_PLANT_176";"mikania_cordifolia";"species"
"TI_PLANT_177";"orthopappus_angustifolius";"species"
"TI_PLANT_178";"piptocarpha_rotundifolia";"species"
"TI_PLANT_179";"pterocaulon_rugosum";"species"
"TI_PLANT_180";"vernonanthura_ferruginea";"species"
"TI_PLANT_181";"vernonanthura_membranacea";"species"
"TI_PLANT_182";"viguiera_arenaria";"species"
"TI_PLANT_183";"saurauia_ferox";"species"
"TI_PLANT_184";"fissistigma_sp.";"genus"
"TI_PLANT_185";"goniothalamus_sp.";"genus"
"TI_PLANT_186";"popowia_pisocarpa";"species"
"TI_PLANT_187";"poikilospermum_sp.";"genus"
"TI_PLANT_188";"unidentified_liana";"species"
"TI_PLANT_189";"costus_sp.";"genus"
"TI_PLANT_190";"tetracera_indica";"species"
"TI_PLANT_191";"dryobalanops_lanceolata";"species"
"TI_PLANT_192";"diospyros_sp.";"genus"
"TI_PLANT_193";"glochidion_sp.";"genus"
"TI_PLANT_194";"mallotus_floribundus";"species"
"TI_PLANT_195";"mallotus_miquelianus";"species"
"TI_PLANT_196";"mallotus_sp.";"genus"
"TI_PLANT_197";"mallotus_wrayi";"species"
"TI_PLANT_198";"bauhinia_sp.";"genus"
"TI_PLANT_199";"spatholobus_spp.";"genus"
"TI_PLANT_200";"fordia_sp.";"genus"
"TI_PLANT_201";"ryparosa_hullettii";"species"
"TI_PLANT_202";"unidentified_trees";"species"
"TI_PLANT_203";"leea_cf.indica";"species"
"TI_PLANT_204";"magnolia_candollii";"species"
"TI_PLANT_205";"aglaia_spp.";"genus"
"TI_PLANT_206";"chisocheton_sp.";"genus"
"TI_PLANT_207";"ardisia_sp.";"genus"
"TI_PLANT_208";"chionanthus_pluriflorus";"species"
"TI_PLANT_209";"uncaria_sp";"genus"
"TI_PLANT_210";"urophyllum_sp.";"genus"
"TI_PLANT_211";"unidentified_lianas";"species"
"TI_PLANT_212";"paranephelium_xestophyllum";"species"
"TI_PLANT_213";"selaginella_sp.";"genus"
"TI_PLANT_214";"pterospermum_sp.";"genus"
"TI_PLANT_215";"brownlowia_peltata";"species"
"TI_PLANT_216";"callicarpa_longifolia";"species"
"TI_PLANT_217";"tetrastigma_sp.";"genus"
"TI_PLANT_218";"globba_pendula";"species"
"TI_PLANT_219";"zingiber_flagelliforme";"species"
"TI_PLANT_220";"Myrica_pubescens";"species"
"TI_PLANT_221";"Hyptis_sp.";"genus"
"TI_PLANT_222";"Heliocarpus_americanus";"species"
"TI_PLANT_223";"Begonia_parviflora";"species"
"TI_PLANT_224";"Ageratina_dendroides";"species"
"TI_PLANT_225";"Viburnum_stipitatum";"species"
"TI_PLANT_226";"Cavendishia_sp.";"genus"
"TI_PLANT_227";"Baccharis_latifolia";"species"
"TI_PLANT_228";"Solanum?_sp.";"genus"
"TI_PLANT_229";"n.i._n.i.";"species"
"TI_PLANT_230";"Solanum_nutans";"species"
"TI_PLANT_231";"Boehmeria_sp.";"genus"
"TI_PLANT_232";"Munnozia_hastifolia";"species"
"TI_PLANT_233";"Monochaetum_lineatum";"species"
"TI_PLANT_234";"Tibouchina_lepidota";"species"
"TI_PLANT_235";"Tibouchina_laxa";"species"
"TI_PLANT_236";"Clethra_revoluta";"species"
"TI_PLANT_237";"Erato_polymnioides";"species"
"TI_PLANT_238";"Sida_rhombifolia";"species"
"TI_PLANT_239";"Tapirira_guianensis";"species"
"TI_PLANT_240";"Sticherus_sp.";"genus"
"TI_PLANT_241";"Axinaea_sp.";"genus"
"TI_PLANT_242";"Pteridium_arachnoideum";"species"
"TI_PLANT_243";"Saurauia_sp.";"genus"
"TI_PLANT_244";"Piper_sp.typeIII";"genus"
"TI_PLANT_245";"Fuchsia_lehmannii";"species"
"TI_PLANT_246";"Tabebuia_chrysantha";"species"
"TI_PLANT_247";"Miconia_sp.";"genus"
"TI_PLANT_248";"Pteridium_sp.";"genus"
"TI_PLANT_249";"Stemodia_suffruticosa";"species"
"TI_PLANT_250";"Faramea_cf.uniflora";"species"
"TI_PLANT_251";"Baccharis_sp.";"genus"
"TI_PLANT_252";"Paullinia_grandifolia";"species"
"TI_PLANT_253";"Baccharis_genistelloides";"species"
"TI_PLANT_254";"Siparuna_aspera";"genus"
"TI_PLANT_255";"Monochaetum_sp.";"genus"
"TI_PLANT_256";"Piper_sp.typeVIII";"genus"
"TI_PLANT_257";"Piper_perareolatum";"species"
"TI_PLANT_258";"Piper_sp.typeI";"genus"
"TI_PLANT_259";"Piper_carpunya";"species"
"TI_PLANT_260";"Gaultheria_erecta";"species"
"TI_PLANT_261";"Trifolium_repens";"species"
"TI_PLANT_262";"Podocarpus_oleifolius";"species"
"TI_PLANT_263";"Alchornea_";"species"
"TI_PLANT_264";"Pentacalia_";"species"
"TI_PLANT_265";"Tabebuia_chysantha";"species"
"TI_PLANT_266";"Escallonia_paniculata";"species"
"TI_PLANT_267";"Pilea_";"species"
"TI_PLANT_268";"Asteraceae_";"species"
"TI_PLANT_269";"unkhown_";"species"
"TI_PLANT_270";"Iresine _diffusa";"species"
"TI_PLANT_271";"Erato_Polymnioides";"species"
"TI_PLANT_272";"Baccharis_latiflora";"species"
"TI_PLANT_273";"Piptocoma_discolor";"species"
"TI_PLANT_274";"Mikania_lanceolata";"species"
"TI_PLANT_275";"Baccharis_macrantha";"species"
"TI_PLANT_276";"Artabotrys _";"species"
"TI_PLANT_277";"Mezzettia _parviflora ";"species"
"TI_PLANT_278";"Pseuduvaria _rugosa ";"species"
"TI_PLANT_279";"Polyalthia _cauliflora ";"species"
"TI_PLANT_280";"Platymitra_siamensis ";"species"
"TI_PLANT_281";"Arenga _pinnata ";"species"
"TI_PLANT_282";"Calamus _godefroyi ";"species"
"TI_PLANT_283";"Wodyetia _bifurcata ";"species"
"TI_PLANT_284";"Maranthes _corymbosa ";"species"
"TI_PLANT_285";"Dipterocarpus _grandiflorus";"species"
"TI_PLANT_286";"Dipterocarpus _";"species"
"TI_PLANT_287";"Parashorea_stellata ";"species"
"TI_PLANT_288";"Shorea _roxburghii ";"species"
"TI_PLANT_289";"Shorea _hypochra ";"species"
"TI_PLANT_290";"Macaranga _denticulata ";"species"
"TI_PLANT_291";"Ptychopyxis _";"species"
"TI_PLANT_292";"Entada _";"species"
"TI_PLANT_293";"Millettia _atropurpurea ";"species"
"TI_PLANT_294";"Parkia_speciosa ";"genus"
"TI_PLANT_295";"inidentified_";"species"
"TI_PLANT_296";"Aglaia _";"species"
"TI_PLANT_297";"Synoum _glandulosum";"species"
"TI_PLANT_298";"Syzygium _";"species"
"TI_PLANT_299";"Baccaurea_polyneura ";"species"
"TI_PLANT_300";"Ziziphus _angustifolius ";"species"
"TI_PLANT_301";"Lepisanthes _rubinigosa ";"species"
"TI_PLANT_302";"Nephelium _lappaceum ";"species"
"TI_PLANT_303";"Xerospermum _noronhianum";"genus"
"TI_PLANT_304";"unknown_";"species"
"TI_PLANT_305";"connarus_panamensis";"species"
"TI_PLANT_306";"inga_marginata";"species"
"TI_PLANT_307";"gustavia_superba";"species"
"TI_PLANT_308";"lacistema_aggregatum";"species"
"TI_PLANT_309";"myrcia_fosteri";"species"
"TI_PLANT_310";"nectandra_cissiflora";"species"
"TI_PLANT_311";"ouratea_lucens";"species"
"TI_PLANT_312";"paullinia_bracteosa";"species"
"TI_PLANT_313";"swartzia_simplex";"species"
"TI_PLANT_314";"trichilia_tuberculata";"species"
"TI_PLANT_315";"sorocea_affinis";"species"
"TI_PLANT_316";"psychotria_horizontalis";"species"
"TI_PLANT_317";"psychotria_limonensis";"species"
"TI_PLANT_318";"psychotria_marginata";"species"
"TI_PLANT_319";"hybanthus_prunifolius";"species"
"TI_PLANT_320";"mouriri_myrtilloides";"species"
"TI_PLANT_321";"chrysophyllum_panamense";"species"
"TI_PLANT_322";"connarus_turczaninowii";"species"
"TI_PLANT_323";"cupania_sylvatica";"species"
"TI_PLANT_324";"doliocarpus_major";"species"
"TI_PLANT_325";"eugenia_oerstediana";"species"
"TI_PLANT_326";"garcinia_intermedia";"species"
"TI_PLANT_327";"hirtella_triandra";"species"
"TI_PLANT_328";"piper_cordulatum";"species"
"TI_PLANT_329";"licania_platypus";"species"
"TI_PLANT_330";"inga_vera";"species"
"TI_PLANT_331";"heisteria_concinna";"species"
"TI_PLANT_332";"alseis_blackiana";"species"
"TI_PLANT_333";"pterocarpus_rohrii";"species"
"TI_PLANT_334";"cordia_bicolor";"species"
"TI_PLANT_335";"tetragastris_panamensis";"species"
"TI_PLANT_336";"guatteria_dumetorum";"species"
"TI_PLANT_337";"desmopsis_panamensis";"species"
