"";"Hemixos flavala";"Hypsipetes leucocephalus";"Pycnonotus melanicterus";"Megalaima asiatica";"Chloropsis jerdoni";"Psilopogon haemacephalus";"Irena puella";"Oriolus oriolus";"Psilopogon virens";"Ducula aenea";"Gracula religiosa";"Psilopogon lineatus";"Heterophasia picaoides";"Ducula badia";"Anthracoceros albirostris";"Treron apicauda";"Treron pompadora";"Leiothrix argentauris";"Psittacula alexandri";"Pycnonotus cafer";"Pycnonotus jocosus";"Psittacula krameri";"Loriculus vernalis";"Alophoixus flaveolus";"Rhyticeros undulatus";"Treron phoenicopterus"
"Ficus drupacea";8;20;11;46;5;19;4;2;1;0;4;7;11;13;0;21;9;1;2;1;0;0;1;17;1;22
"Magnolia hodgsonii";0;6;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;12;0;0
"Litsea_net_051";0;13;1;11;0;0;0;0;0;0;8;4;0;5;0;0;0;0;0;4;2;0;0;29;0;0
"Actinodaphne angustifolia";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Polyalthia simiarum";0;0;0;0;0;0;0;0;0;5;35;0;0;23;1;0;0;0;0;0;0;0;0;0;2;0
"Sterculia villosa";0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;15;0;3;2;3;0;0;0
