"network_id";"null_model";"replicate";"metric";"value"
"gateway_009_connectance";"connectance";8;"richness";92
"gateway_009_connectance";"connectance";8;"connectance";0,099259436215958
"gateway_009_connectance";"connectance";8;"degree.shannon";4,47823917428743
"gateway_009_connectance";"connectance";8;"degree.mean";9,03260869565217
"gateway_009_connectance";"connectance";8;"degree.sd";2,63722751087186
"gateway_009_connectance";"connectance";8;"degree.skewness";0,0620974599268662
"gateway_009_connectance";"connectance";8;"degree.kurtosis";2,49232736671899
"gateway_009_connectance";"connectance";8;"modularity.betweenness";0,174949787201999
"gateway_009_connectance";"connectance";8;"modularity.infomap";0
"gateway_009_connectance";"connectance";8;"nestedness";5,23539895762782
"gateway_009_connectance";"connectance";8;"centrality.degree";0,141636141636142
"gateway_009_connectance";"connectance";8;"centrality.eigen";0,139208675899381
"gateway_009_connectance";"connectance";8;"interaction.overlap";0,103297782587989
"gateway_009_connectance";"connectance";8;"link.density";9,03260869565217
